super_opeid,opeid,institution_name,superopeid_name,multi
-1,2313,SACRED HEART MAJOR SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2321,SAINT MARY'S COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2322,FINLANDIA UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2366,CROSSROADS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2398,BLUE MOUNTAIN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2401,COAHOMA COMMUNITY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2418,MISSISSIPPI GULF COAST COLLEGE COMMUNITY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2435,SOUTHEASTERN BAPTIST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2450,CALVARY BIBLE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2452,CENTRAL BIBLE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2458,COTTEY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2467,CONCEPTION SEMINARY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2476,KENRICK - GLENNON SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2485,MIDWESTERN BAPTIST THEOLOGICAL SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2522,WENTWORTH MILITARY ACADEMY & JUNIOR COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2527,UNIVERSITY OF GREAT FALLS,COLLEGES WITH INSUFFICIENT DATA,1
-1,2540,COLLEGE OF SAINT MARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2543,DANA COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2547,GRACE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2567,YORK COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2584,NOTRE DAME COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2650,UNIVERSITY OF THE SOUTHWEST,COLLEGES WITH INSUFFICIENT DATA,1
-1,2669,,COLLEGES WITH INSUFFICIENT DATA,1
-1,2678,BRYANT & STRATTON COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2709,CONCORDIA COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2740,JEWISH THEOLOGICAL SEMINARY OF AMERICA (THE),COLLEGES WITH INSUFFICIENT DATA,1
-1,2741,AMERICAN JEWISH UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2742,JUILLIARD SCHOOL (THE),COLLEGES WITH INSUFFICIENT DATA,1
-1,2759,MANHATTAN SCHOOL OF MUSIC,COLLEGES WITH INSUFFICIENT DATA,1
-1,2763,MARIA COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
